THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,HARGA_PER_M3,Latitude,Longitude
202401,ARIF RACHMAN HAKIM,7487,93329500,5,12465.540269800988,-7.288531,112.798155
202401,ASEM PAYUNG,8981,23452350,285,2611.329473332591,-7.2862181,112.7857511
202401,BUMI MARINA EMAS,1084,6603000,30,6091.328413284133,-7.2911441,112.8020775
202401,BUMI MARINA EMAS BARAT,1071,7495300,17,6998.412698412699,-7.2930141,112.8035565
202401,BUMI MARINA EMAS TIMUR,119,682700,6,5736.9747899159665,-7.2911441,112.8020775
202401,DESA ASEM PAYUNG,217,1354200,1,6240.552995391705,-7.24917,112.75083
202401,GALAXY BUMI PERMAI,45,233000,2,5177.777777777777,-7.2974136,112.7859957
202401,GEBANG,473,5838500,1,12343.551797040169,-7.2886889,112.7846587
202401,GEBANG KIDUL,6345,25226950,148,3975.878644602049,-7.2826702,112.7873836
202401,GEBANG KIDUL MAWAR,10,42000,1,4200.0,-7.279833,112.796322
202401,GEBANG KIDUL SEPUHAN,449,1602100,18,3568.15144766147,-7.279833,112.796322
202401,GEBANG LOR,7481,29155450,175,3897.2664082341935,-7.2810659,112.7878501
202401,GEBANG LOR KANOMAN,808,2165300,25,2679.8267326732675,-7.279833,112.796322
202401,GEBANG PUTIH,3233,14656700,59,4533.467367769873,-7.2819247,112.787992
202401,GEBANG PUTIH RODAH,1103,4021850,24,3646.2828649138714,-7.279833,112.796322
202401,GEBANG RODAH MAWAR,142,668500,3,4707.7464788732395,-7.279833,112.796322
202401,GEBANG RODAH SEKOLAHAN,95,624000,1,6568.421052631579,-7.279833,112.796322
202401,GEBANG WETAN,4999,21093600,138,4219.563912782556,-7.2811196,112.7896864
202401,GEBANG WETAN RODAH SEKOLAHAN,62,290000,2,4677.419354838709,-7.279833,112.796322
202401,ITS.HIDRODINAMIKA/KEJ.PT,9,26000,1,2888.8888888888887,-7.281111,112.794611
202401,ITS.ILMU PASTI ALAM,806,3552900,15,4408.064516129032,-7.281111,112.794611
202401,ITS.KEPUTIH,1259,10963300,13,8707.942811755362,-7.2826954,112.7956782
202401,ITS.TEHNIK ARSITEKTUR,1644,8672400,30,5275.1824817518245,-7.281111,112.794611
202401,ITS.TEHNIK FISIKA,687,3271500,16,4762.008733624454,-7.281111,112.794611
202401,ITS.TEHNIK GEODESI,558,2716900,12,4868.996415770609,-7.281111,112.794611
202401,ITS.TEHNIK HIDRODINAMIKA,3622,15316000,105,4228.602981778024,-7.281111,112.794611
202401,ITS.TEHNIK HIDRONIKA,27,143200,1,5303.7037037037035,-7.281111,112.794611
202401,ITS.TEHNIK HUMANIORA,565,2428800,16,4298.761061946902,-7.281111,112.794611
202401,ITS.TEHNIK INDUSTRI,766,3698600,13,4828.45953002611,-7.281111,112.794611
202401,ITS.TEHNIK KELAUTAN,381,1551300,14,4071.6535433070867,-7.281111,112.794611
202401,ITS.TEHNIK KOMPUTER,7791,33974900,203,4360.788088820434,-7.281111,112.794611
202401,ITS.TEHNIK LINGKUNGAN,840,4031800,17,4799.761904761905,-7.281111,112.794611
202401,ITS.TEHNIK PEMUKIMAN,523,2707000,13,5175.908221797323,-7.281111,112.794611
202401,ITS.TEHNIK PENYEHATAN,801,3559000,14,4443.196004993758,-7.281111,112.794611
202401,ITS.TEHNIK PRANCANGAN,329,1300500,6,3952.887537993921,-7.281111,112.794611
202401,ITS.TEHNIK SIPIL,3803,18602200,82,4891.454115172232,-7.281111,112.794611
202401,ITS.TEKNIK INDUSTRI,16,75000,1,4687.5,-7.2902398,112.7932773
202401,KEJAWAN,52,74400,1,1430.7692307692307,-7.2774223,112.8057704
202401,KEJAWAN GEBANG,11926,37769250,277,3166.96713063894,-7.2852358,112.8006448
202401,KEJAWAN PUTIH TAMBAK,574,1659400,20,2890.9407665505228,-7.2717595,112.8160468
202401,KEPUTIH,95,937500,3,9868.421052631578,-7.2896546,112.7805282
202401,KEPUTIH TEGAL,18,158400,1,8800.0,-7.2913962,112.8033252
202401,KEPUTIH UTARA,32,133200,1,4162.5,-7.287331,112.7990127
202401,KERTAJAYA INDAH,1004,10483600,9,10441.83266932271,-7.2792852,112.7798359
202401,KERTAJAYA INDAH  REGENCY,811,5013000,20,6181.257706535142,-7.289729,112.7871392
202401,KERTAJAYA INDAH REGENCY,4780,29712000,156,6215.899581589958,-7.289729,112.7871392
202401,KERTAJAYA INDAH TIMUR,27144,198452800,692,7311.111111111111,-7.2792852,112.7798359
202401,KLAMPIS SACHAROSA,2175,13452500,67,6185.057471264367,-7.2875191,112.7813849
202401,MANYAR KERTOADI,16417,111334200,592,6781.640981908997,-7.2847747,112.7834925
202401,MARINA EMAS,2236,13882000,87,6208.4078711985685,-7.2889554,112.802558
202401,MARINA EMAS BARAT,6836,39369700,215,5759.17203042715,-7.2930141,112.8035565
202401,MARINA EMAS SELATAN,1441,8817700,43,6119.153365718251,-7.2893059,112.8029472
202401,MARINA EMAS TENGAH,147,657500,5,4472.789115646258,-7.2940982,112.8051135
202401,MARINA EMAS TIMUR,6202,33430000,195,5390.196710738472,-7.2940982,112.8051135
202401,MARINA EMAS UTARA,1123,5055100,54,4501.424755120213,-7.281512,112.802871
202401,MULYOREJO BARU TEGAL,7600,35879200,165,4720.9473684210525,-7.2750916,112.7936262
202401,MULYOSARI UTARA,5,39000,1,7800.0,-7.2619975,112.7977758
202401,PERUM ITS,386,1852700,4,4799.740932642487,-7.281111,112.794611
202401,RAYA ITS,1185,10455200,2,8822.95358649789,-7.2757378,112.7927519
202401,RODAH,377,2107950,8,5591.379310344828,-7.279833,112.796322
202401,RODAH BUNTU,198,730700,3,3690.40404040404,-7.279833,112.796322
202401,RODAH GEBANG,49,67400,1,1375.5102040816328,-7.279833,112.796322
202401,RODAH GEBANG PUTIH,80,149000,4,1862.5,-7.279833,112.796322
202401,RODAH SEKOLAHAN,1165,3597000,42,3087.5536480686696,-7.279833,112.796322
202401,TEGAL MULYOREJO,1136,4853100,29,4272.095070422535,-7.2750916,112.7936262
202402,ARIF RACHMAN HAKIM,6999,87229500,5,12463.13759108444,-7.288531,112.798155
202402,ASEM PAYUNG,10312,28056800,285,2720.791311093871,-7.2862181,112.7857511
202402,BUMI MARINA EMAS,914,5160400,33,5645.951859956236,-7.2911441,112.8020775
202402,BUMI MARINA EMAS BARAT,792,5651900,18,7136.237373737374,-7.2930141,112.8035565
202402,BUMI MARINA EMAS TIMUR,125,747000,7,5976.0,-7.2911441,112.8020775
202402,DESA ASEM PAYUNG,245,1539000,1,6281.632653061224,-7.24917,112.75083
202402,GALAXY BUMI PERMAI,56,310000,2,5535.714285714285,-7.2974136,112.7859957
202402,GEBANG,402,4951000,1,12315.92039800995,-7.2886889,112.7846587
202402,GEBANG KIDUL,5898,22917500,148,3885.6391997287215,-7.2826702,112.7873836
202402,GEBANG KIDUL MAWAR,12,53000,1,4416.666666666667,-7.279833,112.796322
202402,GEBANG KIDUL SEPUHAN,499,1765100,18,3537.2745490981965,-7.279833,112.796322
202402,GEBANG LOR,7502,27236000,175,3630.49853372434,-7.2810659,112.7878501
202402,GEBANG LOR KANOMAN,841,2117250,25,2517.538644470868,-7.279833,112.796322
202402,GEBANG LOR LENGKONG,71,64600,2,909.8591549295775,-7.279833,112.796322
202402,GEBANG PUTIH,3545,16036900,58,4523.808180535966,-7.2819247,112.787992
