THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,Latitude,Longitude,CLUSTER
202401,ARIF RACHMAN HAKIM,7487,93329500,5,-7.288531,112.798155,0
202401,ASEM PAYUNG,8981,23452350,285,-7.2862181,112.7857511,0
202401,BUMI MARINA EMAS,1084,6603000,30,-7.2911441,112.8020775,1
202401,BUMI MARINA EMAS BARAT,1071,7495300,17,-7.2930141,112.8035565,1
202401,BUMI MARINA EMAS TIMUR,119,682700,6,-7.2911441,112.8020775,1
202401,DESA ASEM PAYUNG,217,1354200,1,-7.24917,112.75083,3
202401,GALAXY BUMI PERMAI,45,233000,2,-7.2987992,112.7836905,0
202401,GEBANG,473,5838500,1,-7.2810659,112.7878501,1
202401,GEBANG KIDUL,6345,25226950,148,-7.2826702,112.7873836,0
202401,GEBANG KIDUL MAWAR,10,42000,1,-7.279833,112.796322,1
202401,GEBANG KIDUL SEPUHAN,449,1602100,18,-7.279833,112.796322,1
202401,GEBANG LOR,7481,29155450,175,-7.2812459,112.7874998,0
202401,GEBANG LOR KANOMAN,808,2165300,25,-7.279833,112.796322,1
202401,GEBANG LOR LENGKONG,49,22800,2,-7.279833,112.796322,1
202401,GEBANG LOR MAWAR,0,39000,1,-7.279833,112.796322,1
202401,GEBANG PUTIH,3233,14656700,59,-7.2847232,112.7851756,0
202401,GEBANG PUTIH RODAH,1103,4021850,24,-7.279833,112.796322,1
202401,GEBANG RODAH BUNTU,4,0,1,-7.279833,112.796322,1
202401,GEBANG RODAH MAWAR,142,668500,3,-7.279833,112.796322,1
202401,GEBANG RODAH SEKOLAHAN,95,624000,1,-7.279833,112.796322,1
202401,GEBANG WETAN,4999,21093600,138,-7.2821858,112.7889758,0
202401,GEBANG WETAN RODAH SEKOLAHAN,62,290000,2,-7.279833,112.796322,1
202401,ITS.HIDRODINAMIKA/KEJ.PT,9,26000,1,-7.281111,112.794611,1
202401,ITS.ILMU PASTI ALAM,806,3552900,15,-7.281111,112.794611,1
202401,ITS.KEPUTIH,1259,10963300,13,-7.2788843,112.7903701,1
202401,ITS.TEHNIK ARSITEKTUR,1644,8672400,30,-7.281111,112.794611,1
202401,ITS.TEHNIK FISIKA,687,3271500,16,-7.281111,112.794611,1
202401,ITS.TEHNIK GEODESI,558,2716900,12,-7.281111,112.794611,1
202401,ITS.TEHNIK HIDRODINAMIKA,3622,15316000,105,-7.281111,112.794611,1
202401,ITS.TEHNIK HIDRONIKA,27,143200,1,-7.281111,112.794611,1
202401,ITS.TEHNIK HUMANIORA,565,2428800,16,-7.281111,112.794611,1
202401,ITS.TEHNIK INDUSTRI,766,3698600,13,-7.281111,112.794611,1
202401,ITS.TEHNIK KELAUTAN,381,1551300,14,-7.281111,112.794611,1
202401,ITS.TEHNIK KOMP,30,24000,1,-7.281111,112.794611,1
202401,ITS.TEHNIK KOMPUTER,7791,33974900,203,-7.281111,112.794611,0
202401,ITS.TEHNIK LINGKUNGAN,840,4031800,17,-7.281111,112.794611,1
202401,ITS.TEHNIK PEMUKIMAN,523,2707000,13,-7.281111,112.794611,1
202401,ITS.TEHNIK PENYEHATAN,801,3559000,14,-7.281111,112.794611,1
202401,ITS.TEHNIK PRANCANGAN,329,1300500,6,-7.281111,112.794611,1
202401,ITS.TEHNIK SIPIL,3803,18602200,82,-7.281111,112.794611,1
202401,ITS.TEKNIK INDUSTRI,16,75000,1,-7.2849264,112.7960776,1
202401,KEJAWAN,52,74400,1,-7.2869102,112.8004152,1
202401,KEJAWAN GEBANG,11926,37769250,277,-7.2843409,112.8025697,0
202401,KEJAWAN PUTIH TAMBAK,574,1659400,20,-7.2771141,112.8022547,1
202401,KEPUTIH,95,937500,3,-7.2987992,112.7836905,0
202401,KEPUTIH TEGAL,18,158400,1,-7.2911063,112.8016511,1
202401,KEPUTIH UTARA,32,133200,1,-7.287331,112.7990127,1
202401,KERTAJAYA INDAH,1004,10483600,9,-7.2891374,112.7622277,0
202401,KERTAJAYA INDAH  REGENCY,811,5013000,20,-7.2897291,112.7871392,0
202401,KERTAJAYA INDAH REGENCY,4780,29712000,156,-7.2897291,112.7871392,0
202401,KERTAJAYA INDAH TIMUR,27144,198452800,692,-7.2781217,112.7735354,2
202401,KLAMPIS SACHAROSA,2175,13452500,67,-7.2875191,112.7813849,0
202401,MANYAR KERTOADI,16417,111334200,592,-7.2820425,112.782479,2
202401,MARINA EMAS,2236,13882000,87,-7.2889554,112.802558,1
202401,MARINA EMAS BARAT,6836,39369700,215,-7.2930141,112.8035565,0
202401,MARINA EMAS SELATAN,1441,8817700,43,-7.3073526,112.8011351,0
202401,MARINA EMAS TENGAH,147,657500,5,-7.2931226,112.8055191,1
202401,MARINA EMAS TIMUR,6202,33430000,195,-7.2889554,112.802558,0
202401,MARINA EMAS UTARA,1123,5055100,54,-7.24917,112.75083,3
202401,MULYOREJO BARU TEGAL,7600,35879200,165,-7.2750916,112.7936262,1
202401,MULYOSARI UTARA,5,39000,1,-7.2619975,112.7977758,1
202401,PERUM ITS,386,1852700,4,-7.281111,112.794611,1
202401,RAYA ITS,1185,10455200,2,-7.2757378,112.7927519,1
202401,RODAH,377,2107950,8,-7.279833,112.796322,1
202401,RODAH BUNTU,198,730700,3,-7.279833,112.796322,1
202401,RODAH GEBANG,49,67400,1,-7.279833,112.796322,1
202401,RODAH GEBANG PUTIH,80,149000,4,-7.279833,112.796322,1
202401,RODAH SEKOLAHAN,1165,3597000,42,-7.279833,112.796322,1
202401,TEGAL MULYOREJO,1136,4853100,29,-7.2750916,112.7936262,1
202401,TEGAL MULYOREJO BARU,0,17000,1,-7.2750916,112.7936262,1
202402,ARIF RACHMAN HAKIM,6999,87229500,5,-7.288531,112.798155,0
202402,ASEM PAYUNG,10312,28056800,285,-7.2862181,112.7857511,0
202402,BUMI MARINA EMAS,914,5160400,33,-7.2911441,112.8020775,1
202402,BUMI MARINA EMAS BARAT,792,5651900,18,-7.2930141,112.8035565,1
202402,BUMI MARINA EMAS TIMUR,125,747000,7,-7.2911441,112.8020775,1
202402,DESA ASEM PAYUNG,245,1539000,1,-7.24917,112.75083,3
202402,GALAXY BUMI PERMAI,56,310000,2,-7.2987992,112.7836905,0
202402,GEBANG,402,4951000,1,-7.2810659,112.7878501,1
202402,GEBANG KIDUL,5898,22917500,148,-7.2826702,112.7873836,0
202402,GEBANG KIDUL MAWAR,12,53000,1,-7.279833,112.796322,1
202402,GEBANG KIDUL SEPUHAN,499,1765100,18,-7.279833,112.796322,1
202402,GEBANG LOR,7502,27236000,175,-7.2812459,112.7874998,0
202402,GEBANG LOR KANOMAN,841,2117250,25,-7.279833,112.796322,1
202402,GEBANG LOR LENGKONG,71,64600,2,-7.279833,112.796322,1
202402,GEBANG LOR MAWAR,0,39000,1,-7.279833,112.796322,1
202402,GEBANG PUTIH,3545,16036900,58,-7.2847232,112.7851756,0
202402,GEBANG PUTIH RODAH,905,3390700,24,-7.279833,112.796322,1
202402,GEBANG RODAH BUNTU,7,0,1,-7.279833,112.796322,1
202402,GEBANG RODAH MAWAR,162,738350,3,-7.279833,112.796322,1
202402,GEBANG RODAH SEKOLAHAN,86,561000,1,-7.279833,112.796322,1
202402,GEBANG WETAN,4337,16001900,138,-7.2821858,112.7889758,0
202402,GEBANG WETAN RODAH SEKOLAHAN,34,164000,2,-7.279833,112.796322,1
202402,ITS.HIDRODINAMIKA/KEJ.PT,9,26000,1,-7.281111,112.794611,1
202402,ITS.ILMU PASTI ALAM,816,3460800,15,-7.281111,112.794611,1
202402,ITS.KEPUTIH,1218,11417300,13,-7.2788843,112.7903701,1
202402,ITS.TEHNIK ARSITEKTUR,1355,6977700,30,-7.281111,112.794611,1
202402,ITS.TEHNIK FISIKA,646,2973700,16,-7.281111,112.794611,1
202402,ITS.TEHNIK GEODESI,448,2000500,12,-7.281111,112.794611,1
202402,ITS.TEHNIK HIDRODINAMIKA,3625,15283300,105,-7.281111,112.794611,1
202402,ITS.TEHNIK HIDRONIKA,15,69500,1,-7.281111,112.794611,1
202402,ITS.TEHNIK HUMANIORA,522,2069400,16,-7.281111,112.794611,1
202402,ITS.TEHNIK INDUSTRI,610,2710100,13,-7.281111,112.794611,1
202402,ITS.TEHNIK KELAUTAN,388,1499400,14,-7.281111,112.794611,1
202402,ITS.TEHNIK KOMP,30,24000,1,-7.281111,112.794611,1
202402,ITS.TEHNIK KOMPUTER,7094,29147700,204,-7.281111,112.794611,0
202402,ITS.TEHNIK LINGKUNGAN,676,2933300,17,-7.281111,112.794611,1
202402,ITS.TEHNIK PEMUKIMAN,456,2289000,13,-7.281111,112.794611,1
202402,ITS.TEHNIK PENYEHATAN,532,2356700,14,-7.281111,112.794611,1
202402,ITS.TEHNIK PRANCANGAN,321,1269300,6,-7.281111,112.794611,1
202402,ITS.TEHNIK SIPIL,3338,15771400,82,-7.281111,112.794611,1
202402,ITS.TEKNIK INDUSTRI,50,309000,1,-7.2849264,112.7960776,1
202402,KEJAWAN,45,59000,1,-7.2869102,112.8004152,1
202402,KEJAWAN GEBANG,12374,37221350,278,-7.2843409,112.8025697,0
202402,KEJAWAN PUTIH TAMBAK,616,1842450,20,-7.2771141,112.8022547,1
202402,KEPUTIH,102,1058200,3,-7.2987992,112.7836905,0
202402,KEPUTIH TEGAL,12,105600,1,-7.2911063,112.8016511,1
202402,KEPUTIH UTARA,34,146400,1,-7.287331,112.7990127,1
202402,KERTAJAYA INDAH,1029,11063500,9,-7.2891374,112.7622277,0
202402,KERTAJAYA INDAH  REGENCY,1019,6434000,20,-7.2897291,112.7871392,0
202402,KERTAJAYA INDAH REGENCY,5105,31848000,156,-7.2897291,112.7871392,0
202402,KERTAJAYA INDAH TIMUR,31198,231584900,693,-7.2781217,112.7735354,2
202402,KLAMPIS SACHAROSA,2292,14374100,67,-7.2875191,112.7813849,0
202402,MANYAR KERTOADI,19059,129875600,592,-7.2820425,112.782479,2
202402,MARINA EMAS,1720,10308200,87,-7.2889554,112.802558,1
202402,MARINA EMAS BARAT,6686,38301900,215,-7.2930141,112.8035565,0
202402,MARINA EMAS SELATAN,1165,6967400,43,-7.3073526,112.8011351,0
202402,MARINA EMAS TENGAH,81,416700,5,-7.2931226,112.8055191,1
202402,MARINA EMAS TIMUR,5511,29021400,195,-7.2889554,112.802558,0
202402,MARINA EMAS UTARA,1399,6307200,54,-7.24917,112.75083,3
202402,MULYOREJO BARU TEGAL,7550,34603600,165,-7.2750916,112.7936262,1
202402,MULYOSARI UTARA,2,39000,1,-7.2619975,112.7977758,1
202402,PERUM ITS,215,1005600,4,-7.281111,112.794611,1
202402,RAYA ITS,1056,9299000,2,-7.2757378,112.7927519,1
202402,RODAH,397,2218550,8,-7.279833,112.796322,1
202402,RODAH BUNTU,206,744600,3,-7.279833,112.796322,1
202402,RODAH GEBANG,55,83000,1,-7.279833,112.796322,1
202402,RODAH GEBANG PUTIH,81,167400,4,-7.279833,112.796322,1
202402,RODAH SEKOLAHAN,1348,4029700,42,-7.279833,112.796322,1
202402,TEGAL MULYOREJO,1022,3991900,29,-7.2750916,112.7936262,1
202402,TEGAL MULYOREJO BARU,0,17000,1,-7.2750916,112.7936262,1
202403,ARIF RACHMAN HAKIM,6164,76694800,5,-7.288531,112.798155,0
202403,ASEM PAYUNG,9418,24604200,286,-7.2862181,112.7857511,0
202403,BUMI MARINA EMAS,1100,6406000,33,-7.2911441,112.8020775,1
202403,BUMI MARINA EMAS BARAT,602,4085000,18,-7.2930141,112.8035565,1
202403,BUMI MARINA EMAS TIMUR,170,1006400,7,-7.2911441,112.8020775,1
202403,DESA ASEM PAYUNG,225,1407000,1,-7.24917,112.75083,3
202403,GALAXY BUMI PERMAI,57,317000,2,-7.2987992,112.7836905,0
202403,GEBANG,372,4576000,1,-7.2810659,112.7878501,1
202403,GEBANG KIDUL,5325,19349800,148,-7.2826702,112.7873836,0
202403,GEBANG KIDUL MAWAR,12,53000,1,-7.279833,112.796322,1
202403,GEBANG KIDUL SEPUHAN,435,1521100,18,-7.279833,112.796322,1
202403,GEBANG LOR,6559,23138750,175,-7.2812459,112.7874998,0
202403,GEBANG LOR KANOMAN,719,1715100,25,-7.279833,112.796322,1
202403,GEBANG LOR LENGKONG,57,32400,2,-7.279833,112.796322,1
202403,GEBANG LOR MAWAR,0,39000,1,-7.279833,112.796322,1
202403,GEBANG PUTIH,3629,17602700,58,-7.2847232,112.7851756,0
202403,GEBANG PUTIH RODAH,884,2998150,24,-7.279833,112.796322,1
202403,GEBANG RODAH BUNTU,4,0,1,-7.279833,112.796322,1
202403,GEBANG RODAH MAWAR,123,538200,3,-7.279833,112.796322,1
202403,GEBANG RODAH SEKOLAHAN,16,75000,1,-7.279833,112.796322,1
202403,GEBANG WETAN,3758,13455250,137,-7.2821858,112.7889758,0
202403,GEBANG WETAN RODAH SEKOLAHAN,47,222500,2,-7.279833,112.796322,1
202403,ITS.HIDRODINAMIKA/KEJ.PT,13,35900,1,-7.281111,112.794611,1
202403,ITS.ILMU PASTI ALAM,640,2655900,15,-7.281111,112.794611,1
202403,ITS.KEPUTIH,972,9191700,13,-7.2788843,112.7903701,1
202403,ITS.TEHNIK ARSITEKTUR,1430,7636300,30,-7.281111,112.794611,1
202403,ITS.TEHNIK FISIKA,551,2477200,16,-7.281111,112.794611,1
202403,ITS.TEHNIK GEODESI,351,1448500,12,-7.281111,112.794611,1
202403,ITS.TEHNIK HIDRODINAMIKA,3107,12764550,105,-7.281111,112.794611,1
202403,ITS.TEHNIK HIDRONIKA,35,196000,1,-7.281111,112.794611,1
202403,ITS.TEHNIK HUMANIORA,412,1617000,16,-7.281111,112.794611,1
202403,ITS.TEHNIK INDUSTRI,502,2139700,13,-7.281111,112.794611,1
202403,ITS.TEHNIK KELAUTAN,345,1298100,14,-7.281111,112.794611,1
202403,ITS.TEHNIK KOMP,30,24000,1,-7.281111,112.794611,1
202403,ITS.TEHNIK KOMPUTER,6316,25458700,204,-7.281111,112.794611,0
202403,ITS.TEHNIK LINGKUNGAN,616,2744600,17,-7.281111,112.794611,1
202403,ITS.TEHNIK PEMUKIMAN,318,1555500,13,-7.281111,112.794611,1
202403,ITS.TEHNIK PENYEHATAN,464,2135200,14,-7.281111,112.794611,1
202403,ITS.TEHNIK PRANCANGAN,313,1227300,6,-7.281111,112.794611,1
202403,ITS.TEHNIK SIPIL,2859,13110200,82,-7.281111,112.794611,1
202403,ITS.TEKNIK INDUSTRI,69,442000,1,-7.2849264,112.7960776,1
202403,KEJAWAN,47,63400,1,-7.2869102,112.8004152,1
202403,KEJAWAN GEBANG,10333,30596000,278,-7.2843409,112.8025697,0
202403,KEJAWAN PUTIH TAMBAK,592,1672050,20,-7.2771141,112.8022547,1
202403,KEPUTIH,107,1157500,3,-7.2987992,112.7836905,0
202403,KEPUTIH TEGAL,19,167200,1,-7.2911063,112.8016511,1
202403,KEPUTIH UTARA,33,139800,1,-7.287331,112.7990127,1
202403,KERTAJAYA INDAH,987,10041500,9,-7.2891374,112.7622277,0
202403,KERTAJAYA INDAH  REGENCY,822,5191000,20,-7.2897291,112.7871392,0
202403,KERTAJAYA INDAH REGENCY,4302,26627000,155,-7.2897291,112.7871392,0
202403,KERTAJAYA INDAH TIMUR,26856,196855800,691,-7.2781217,112.7735354,2
202403,KLAMPIS SACHAROSA,2017,12518400,67,-7.2875191,112.7813849,0
202403,MANYAR KERTOADI,17363,116386700,593,-7.2820425,112.782479,2
202403,MARINA EMAS,1535,9324100,87,-7.2889554,112.802558,1
202403,MARINA EMAS BARAT,6391,36367900,215,-7.2930141,112.8035565,0
202403,MARINA EMAS SELATAN,1078,6481100,43,-7.3073526,112.8011351,0
202403,MARINA EMAS TENGAH,70,426000,6,-7.2931226,112.8055191,1
202403,MARINA EMAS TIMUR,4755,24722300,196,-7.2889554,112.802558,0
202403,MARINA EMAS UTARA,1181,5466900,54,-7.24917,112.75083,3
202403,MULYOREJO BARU TEGAL,6519,29313100,165,-7.2750916,112.7936262,1
202403,MULYOSARI UTARA,7,39000,1,-7.2619975,112.7977758,1
202403,PERUM ITS,183,856600,4,-7.281111,112.794611,1
202403,RAYA ITS,1106,9755200,3,-7.2757378,112.7927519,1
202403,RODAH,332,1866200,8,-7.279833,112.796322,1
202403,RODAH BUNTU,196,720400,3,-7.279833,112.796322,1
202403,RODAH GEBANG,44,54400,1,-7.279833,112.796322,1
202403,RODAH GEBANG PUTIH,68,132300,4,-7.279833,112.796322,1
202403,RODAH SEKOLAHAN,1794,5289250,42,-7.279833,112.796322,1
202403,TEGAL MULYOREJO,867,3225600,29,-7.2750916,112.7936262,1
202403,TEGAL MULYOREJO BARU,0,17000,1,-7.2750916,112.7936262,1
202404,ARIF RACHMAN HAKIM,6655,82917000,5,-7.288531,112.798155,0
202404,ASEM PAYUNG,8962,23553100,286,-7.2862181,112.7857511,0
202404,BUMI MARINA EMAS,1175,7656600,34,-7.2911441,112.8020775,1
202404,BUMI MARINA EMAS BARAT,809,5626100,18,-7.2930141,112.8035565,1
202404,BUMI MARINA EMAS TIMUR,110,613400,7,-7.2911441,112.8020775,1
202404,DESA ASEM PAYUNG,213,1327800,1,-7.24917,112.75083,3
202404,GALAXY BUMI PERMAI,58,324000,2,-7.2987992,112.7836905,0
202404,GEBANG,309,3788500,1,-7.2810659,112.7878501,1
202404,GEBANG KIDUL,6006,23515800,148,-7.2826702,112.7873836,0
202404,GEBANG KIDUL MAWAR,10,42000,1,-7.279833,112.796322,1
202404,GEBANG KIDUL SEPUHAN,466,1835800,18,-7.279833,112.796322,1
202404,GEBANG LOR,7041,26978050,175,-7.2812459,112.7874998,0
202404,GEBANG LOR KANOMAN,812,2053750,25,-7.279833,112.796322,1
202404,GEBANG LOR LENGKONG,50,24000,2,-7.279833,112.796322,1
202404,GEBANG LOR MAWAR,0,39000,1,-7.279833,112.796322,1
202404,GEBANG PUTIH,3540,17622100,58,-7.2847232,112.7851756,0
202404,GEBANG PUTIH RODAH,982,3464300,24,-7.279833,112.796322,1
202404,GEBANG RODAH BUNTU,3,0,1,-7.279833,112.796322,1
202404,GEBANG RODAH MAWAR,110,501700,3,-7.279833,112.796322,1
202404,GEBANG RODAH SEKOLAHAN,78,505000,1,-7.279833,112.796322,1
202404,GEBANG WETAN,4416,18173000,137,-7.2821858,112.7889758,0
202404,GEBANG WETAN RODAH SEKOLAHAN,39,186500,2,-7.279833,112.796322,1
202404,ITS.HIDRODINAMIKA/KEJ.PT,6,26000,1,-7.281111,112.794611,1
202404,ITS.ILMU PASTI ALAM,704,3043500,15,-7.281111,112.794611,1
202404,ITS.KEPUTIH,770,6256100,13,-7.2788843,112.7903701,1
202404,ITS.TEHNIK ARSITEKTUR,1535,8195700,30,-7.281111,112.794611,1
202404,ITS.TEHNIK FISIKA,549,2617200,16,-7.281111,112.794611,1
202404,ITS.TEHNIK GEODESI,460,2132600,12,-7.281111,112.794611,1
